ObjID	dusty_mass	dust_free_mass	star_light_mass	color(u-r)
587728932420845635	7.158	8.132	8.679	1.121
587728932957978839	7.125	8.225	9.591	0.862
587729153595539511	9.284	7.176	9.387	1.464
587729153595605179	8.338	7.172	9.699	1.167
587729153595932807	9.068	9.416	9.494	3.257
587729153595998292	9.136	8.412	9.873	1.880
587729153595998400	8.364	9.100	9.150	2.031
587729153596915931	8.123	9.155	9.655	0.927
587729153599144025	8.040	8.398	9.585	1.757
587729154134048805	8.315	8.220	9.865	1.655
587729154134048902	8.174	8.228	9.999	1.245
587729154135883995	8.222	8.356	9.815	2.033
587729154668626032	6.874	8.211	7.940	0.934
587729155206021227	8.577	8.236	9.797	1.335
587729155745906782	9.588	6.934	10.053	2.428
587729155746168981	8.818	8.672	9.830	1.898
587729155746955379	8.260	9.645	8.715	1.087
587729155747020938	8.871	8.842	9.723	1.703
587729156279894169	9.830	8.338	10.085	4.661
587729156282712124	8.540	8.940	9.782	1.904
587729156283629692	8.192	9.849	9.775	1.444
587729157893128254	9.171	8.586	9.678	2.273
587729157893128340	7.746	8.328	9.270	1.307
587729157898502354	8.595	9.171	9.824	1.304
587729157898502442	8.905	7.818	9.520	1.435
587729157901713417	8.452	8.717	10.045	2.064
587729157902762166	8.437	8.953	9.595	1.749
587729157902893278	8.429	8.477	10.042	2.020
587729157903024312	8.473	8.440	9.681	1.402
587729157903090027	7.386	8.482	8.776	1.320
587729157903941917	8.295	8.589	9.986	1.776
587729157905055958	7.299	7.426	9.354	0.641
587729157905776707	8.235	8.306	9.534	1.435
587729157907611766	8.608	7.391	10.079	1.939
587729158428557347	8.220	8.348	9.595	1.315
587729158439501856	9.160	8.627	9.749	1.689
587729158440747261	8.078	8.288	9.931	1.306
587729158441009318	7.602	9.306	10.098	1.624
587729158441468135	7.984	8.135	9.970	1.744
587729158964314121	8.821	7.667	9.785	1.780
587729158975324733	8.040	7.989	9.807	11.585
587729158982926673	7.448	8.833	7.869	1.078
587729159520780622	8.223	8.189	9.170	1.180
587729160037466405	7.843	7.545	9.934	1.243
587729160038187170	7.995	8.269	9.965	2.744
587729160038383744	7.663	7.870	9.766	1.393
587729160047886731	8.281	8.004	9.770	1.846
587729160051884222	7.054	7.710	9.805	1.034
587729160574992535	8.738	8.308	9.853	1.652
587729226613194903	9.277	7.083	9.790	2.206
587729227150000242	9.181	8.805	9.854	2.221
587729227686477842	7.863	9.267	9.494	1.440
587729227686740155	8.802	9.144	9.672	1.536
587729227687002247	8.431	7.987	9.645	1.382
587729227687461037	8.590	8.904	9.656	1.348
587729228223742144	8.278	8.536	10.203	1.323
587729228758450315	8.475	8.712	9.778	1.427
587729228761006206	8.862	8.420	9.958	0.979
587729229296828526	8.485	8.513	9.728	5.680
587729229297025058	8.788	8.921	9.968	1.814
587729229298270370	8.223	8.624	9.370	1.136
587729231982231937	7.862	8.839	9.865	1.543
587729232514253002	9.254	8.307	9.951	1.878
587729232518250747	7.445	7.964	8.937	1.116
587729385538715791	7.881	9.236	10.080	1.717
587729385538977887	8.600	7.488	10.017	1.615
587729385541795983	7.515	7.949	8.896	1.158
587729385541927115	7.828	8.636	8.030	1.277
587729385541992450	8.790	7.533	9.703	1.191
587729385542123645	8.520	7.909	9.822	1.457
587729385545990272	7.992	8.855	9.254	1.596
587729386066083940	7.390	8.652	8.839	1.271
587729386076176671	8.349	8.112	9.928	1.430
587729386077487237	7.192	7.468	7.940	1.156
587729386077487298	7.766	8.360	9.435	1.312
587729386077618383	8.820	7.241	9.696	1.616
587729386077683879	7.667	7.837	8.367	1.368
587729386077749331	8.594	8.902	9.690	1.525
587729386078011525	7.569	7.736	8.764	1.096
587729386078208057	7.723	8.726	8.602	1.385
587729386081288204	8.803	7.623	9.799	1.177
587729386081288255	9.151	7.782	9.702	1.863
587729386082402432	8.728	8.944	9.675	1.562
587729386601250936	8.303	9.319	9.252	1.078
587729386602692631	10.002	8.866	10.092	2.373
587729386607673504	8.949	8.438	10.001	1.823
587729386612719719	8.632	10.039	9.999	1.977
587729386612916371	7.701	9.201	9.920	1.427
587729386614423623	9.512	8.645	9.851	2.108
587729386614423637	9.183	7.766	9.771	1.911
587729386614423693	9.715	9.498	10.035	2.329
